"KMETIJSKI PRIDELEK";"2000 Kolièina";"2000 Povpreèna cena";"2001 Kolièina";"2001 Povpreèna cena";"2002 Kolièina";"2002 Povpreèna cena";"2003 Kolièina";"2003 Povpreèna cena";"2004 Kolièina";"2004 Povpreèna cena";"2005 Kolièina";"2005 Povpreèna cena";"2006 Kolièina";"2006 Povpreèna cena";"2007 Kolièina";"2007 Povpreèna cena";"2008 Kolièina";"2008 Povpreèna cena";"2009 Kolièina";"2009 Povpreèna cena";"2010 Kolièina";"2010 Povpreèna cena";"2011 Kolièina";"2011 Povpreèna cena";"2012 Kolièina";"2012 Povpreèna cena";"2013 Kolièina";"2013 Povpreèna cena";"2014 Kolièina";"2014 Povpreèna cena";"2015 Kolièina";"2015 Povpreèna cena";"2016 Kolièina";"2016 Povpreèna cena";"2017 Kolièina";"2017 Povpreèna cena";"2018 Kolièina";"2018 Povpreèna cena";"2019 Kolièina";"2019 Povpreèna cena";"2020 Kolièina";"2020 Povpreèna cena";"2021 Kolièina";"2021 Povpreèna cena"
"Kostanj (kg)";70518;1.16;59746;1.20;48697;1.35;47593;1.27;25430;1.75;16059;1.89;25159;2.07;30828;2.72;25529;2.60;35523;2.52;33386;2.41;47315;1.92;25455;2.65;33110;3.47;39411;4.13;46920;4.54;60275;4.51;63725;4.67;57760;3.83;45170;3.92;57297;4.66;60906;4.66
"Jagode (kg)";82216;2.33;95749;2.95;116259;2.61;66772;2.93;83996;2.83;74920;2.88;54501;3.54;102303;4.44;109470;4.21;59413;4.92;103255;4.23;75603;4.90;57605;5.25;53766;5.00;82957;5.59;78841;4.79;83865;4.81;85892;4.92;77654;5.76;82596;5.09;86884;5.12;88594;5.48
"Maline (kg)";8964;2.49;8285;2.88;7194;4.26;3556;3.93;7185;3.85;4382;3.60;6023;5.10;11289;9.32;11344;8.71;8220;6.15;16287;5.22;13617;5.60;12939;4.91;12499;5.45;12227;6.49;9504;7.39;10775;5.43;9995;6.88;8687;6.76;10036;6.68;11447;5.61;12135;5.84
"Ameriške borovnice (kg)";-;-;5850;4.27;11220;4.15;11568;4.78;18806;5.05;16376;6.77;15056;7.17;19635;8.48;24680;8.30;18476;8.65;19937;9.22;16207;9.97;9214;8.74;10640;10.59;10255;9.90;6250;9.58;6605;8.81;7480;9.61;5985;9.15;4550;10.28;5700;10.50;5559;11.38
"Sveže fige (kg)";48860;1.51;49980;2.12;31347;1.94;21368;2.43;18070;2.33;40643;2.14;35996;2.72;8254;3.28;20825;3.28;21128;3.16;41841;3.58;22424;3.44;18931;3.73;24295;3.77;27021;3.56;15825;4.54;41060;3.82;43320;5.00;34200;5.01;31166;5.89;40585;3.94;41846;4.27
"Suhe fige (kg)";3265;3.19;2915;3.95;4670;3.86;1020;4.38;238;3.57;1410;4.89;693;4.19;186;4.57;7000;4.14;10971;4.28;12222;7.52;3838;7.14;1846;6.86;1840;6.80;1684;6.84;16105;9.88;14246;9.74;12446;9.77;14389;9.66;13079;10.40;15504;9.68;15543;9.77
"Kaki (kg)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37476;3.11;32025;2.85;50605;2.82;36212;2.39;55580;3.26;68105;4.56;73148;3.82;79300;2.49;83130;2.86;82761;2.47;65485;4.95
"Grozdje (kg)";65770;1.34;78145;1.41;55634;1.93;54367;1.67;44889;1.57;16142;1.76;69564;1.69;27723;2.23;40369;2.38;66968;2.47;46861;2.45;61467;2.60;31784;2.53;42968;2.55;49043;3.07;58906;3.52;91305;3.49;89449;3.54;87299;3.72;91365;3.70;93467;3.53;96898;3.91
"Kokoši in pišèanci, meso (nerazkošèièeno) (kg)";331855;2.25;319402;2.60;295171;2.80;262421;2.80;256290;2.82;259065;2.80;170840;2.74;135360;2.84;170502;2.88;128780;2.82;210960;3.10;215990;3.45;197730;3.63;209305;3.98;212585;3.71;41240;4.12;41685;4.40;47420;4.62;57200;4.43;63950;4.79;61832;4.69;69633;5.03
"Purani, meso (nerazkošèièeno) (kg)";55575;3.38;62527;3.67;67877;3.95;61439;4.09;57420;4.32;79735;4.42;42636;4.22;29415;4.45;16367;3.90;25462;3.18;2000;3.50;-;-;4300;6.90;4700;6.90;2800;6.90;14795;6.99;11325;7.00;11140;6.94;13325;7.00;15500;7.00;12325;7.00;12499;7.40
"Jajca, konzumna (kos)";5183818;0.10;4584090;0.10;4097830;0.10;3067385;0.10;3085300;0.11;2950320;0.11;3256800;0.12;3439832;0.13;3642348;0.15;2027856;0.17;1868320;0.14;1576280;0.16;2418340;0.13;2150630;0.13;2223252;0.18;907195;0.19;822290;0.19;731480;0.19;787570;0.20;780010;0.21;693271;0.22;739159;0.24
"Sveže mleko (l)";3689;0.41;2493;0.42;1081;0.38;439;0.48;970;0.48;2066;0.62;3595;0.51;3595;0.55;2220;0.64;6980;1.00;26300;0.98;29955;0.99;28060;0.99;37340;0.99;30630;1.04;51310;1.05;49575;1.08;53360;1.08;67530;1.07;65280;1.12;44836;1.21;48994;1.28
"Surovo maslo (kg)";14244;4.70;18232;5.33;20427;5.20;17919;5.08;16172;5.35;10266;5.43;10607;5.45;15743;6.64;13267;8.19;15280;8.08;13390;4.11;14259;4.61;14146;4.62;11199;4.66;12281;4.99;21726;5.31;18220;11.94;7481;12.28;6471;12.75;7045;13.51;10583;12.94;7872;13.95
"Kajmak (kg)";36914;8.37;36843;10.07;31511;8.55;26103;9.02;22981;9.72;21132;9.93;20889;10.59;36813;12.75;21781;14.39;19155;12.61;15665;8.73;14930;14.97;14740;13.00;12282;15.20;13246;15.00;16421;16.32;14211;16.18;11041;16.14;11251;15.96;8997;15.94;13733;16.05;14972;22.44
"Siri vseh vrst (kg)";68205;8.03;57182;8.00;48395;7.35;33844;7.09;36297;5.60;58255;5.93;35410;7.47;49355;11.94;37119;12.44;28674;7.47;41782;4.68;30137;7.86;53663;6.60;53896;6.79;52179;9.18;46269;12.40;57845;12.09;61275;13.01;68145;12.53;60955;12.98;59354;12.60;65841;12.77
"Smetana (kg)";57383;2.49;61804;2.70;57854;2.90;45161;2.84;35905;2.84;43374;2.90;31621;2.88;48585;3.21;33435;3.51;28410;3.50;28400;3.18;30235;4.50;25657;4.43;25461;4.76;22082;4.86;22168;5.08;21395;5.02;19570;5.18;18965;5.02;18008;5.03;20442;5.08;21891;5.22
"Oljèno olje (l)";4515;8.42;6815;8.32;7050;8.36;7765;9.26;3000;9.67;7310;10.24;2910;9.28;1020;9.62;700;10.17;815;11.17;840;12.00;1530;12.39;1770;13.36;1660;13.28;1705;13.77;11525;14.55;11390;13.66;10595;15.07;22420;13.75;28220;14.00;11888;13.91;12186;14.50
"Kislo zelje (kg)";466317;1.21;455681;1.24;334175;1.24;260372;1.38;311096;1.59;324446;1.61;297304;1.64;400427;1.73;346246;1.81;356379;1.84;251664;1.84;224493;1.93;190500;2.02;123285;1.97;135395;2.10;122201;2.20;135122;2.19;146938;2.01;189845;2.01;200976;2.01;141923;2.21;152262;2.29
"Kisla repa (kg)";210851;1.20;204743;1.22;153043;1.26;115479;1.40;143433;1.60;176655;1.63;177470;1.63;222779;1.74;169164;1.87;183881;1.83;133850;1.85;120114;1.92;99116;2.03;80298;1.99;77335;2.09;95235;2.11;104067;2.05;92506;2.01;77031;2.04;82302;2.03;113352;2.12;115452;2.17
"Sveže gobe (kg)";7441;10.29;11001;9.34;6363;7.97;5788;6.00;7307;11.57;6723;10.48;2464;14.68;9300;11.59;7336;12.05;15199;8.74;3286;12.57;10033;11.17;9033;12.69;8985;14.71;4958;12.35;13155;10.09;4132;18.12;4991;19.12;9861;20.69;9771;22.13;4280;18.60;3931;19.47
"Med (kg)";38346;4.25;41883;4.14;39500;4.16;46204;4.70;57751;4.77;41835;4.82;51393;4.70;46591;4.91;69867;5.26;84088;5.47;137445;5.67;130796;6.24;86633;7.05;60811;7.83;49982;8.08;52215;9.49;60015;9.85;62350;9.86;60759;9.91;56299;9.99;62579;10.08;64347;11.86
"Pšenièna moka (kg)";39297;0.63;29130;0.58;27810;0.74;19300;0.84;17170;0.97;36868;0.98;45271;1.00;41971;1.04;23817;1.25;17599;1.20;14936;1.20;15670;1.22;12450;1.25;18676;1.51;13959;1.24;8576;1.47;9155;1.47;9190;1.46;15515;1.49;17430;1.97;9229;1.49;10515;1.88
"Koruzna moka (kg)";30072;0.62;31265;0.67;25045;0.84;17438;1.20;15823;1.05;32784;1.00;36902;1.01;34293;1.04;22130;1.23;17449;1.19;14901;1.23;16172;1.25;12745;1.32;18195;1.50;13679;2.00;9035;1.96;9765;1.95;10180;1.93;14965;1.97;15290;1.97;9740;1.97;10985;2.42
